"","text"
"246","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"247","satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap  pasalnya  "
"248","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"249","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"250","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaperc"
"251","   minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     pemdapercepatvaksinasi "
"252","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"253"," minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     "
"254","satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap  pasalnya  "
"255","  tni  polri  membantu program percepatan vaksinasi nasional   masyarakat  usia lansia jokowi i"
"256"," sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    sala "
"257"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"258","tni  polri  membantu program percepatan vaksinasi nasional   masyarakat  usia lansia j "
"259"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"260","pemerintah daerah sambung tito   anggaran penanganan covid   dialokasikan  "
"261"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"262","pemerintah daerah sambung tito   anggaran penanganan covid   dialokasikan  "
"263","percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"264"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"265"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"266"," terobosan  mengumpulkan masyarakat gar  mengikuti vaksinasi   pemdapercepatvaksinasi "
"267"," vaksinasi betulbetul  target       persen    betulbetul "
"268"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"269"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"270","pemerintah daerah   anggaran penanganan covid yg  dialokasikan   terobosa "
"271","pemerintah daerah   anggaran penanganan covid yg  dialokasikan   terobosa "
"272"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"273"," vaksinasi betulbetul  target       persen    betulbetul "
"274","pemdapercepatvaksinasi  pemerintah daerah sambung tito   anggaran penanganan covid yg   "
"275"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"276","semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   "
"277","pemerintah daerah   anggaran penanganan covid yg  dialokasikan   terobosa "
"278","salut banget  terobosan     mengumpulkan masyarakat   mengikuti vaksin "
"279"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"280"," terobosan     mengumpulkan masyarakat   mengikuti vaksinasi "
"281","masyarakat sulawesi tenggara    vaksinasi    pemdapercepatvaksinasi "
"282"," anggaran tito melanjutkan pemerintah daerah   anggaran penanganan covid   dialok "
"283","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"284","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"285","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"286","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"287","   covid   menurun  kegiatan vaksinasi  dilangsungkan  merata   masyarakat indone"
"288","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"289","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"290","  presiden    masyarakat  waspada  kovid varian omicron  salah satunya   menjalankan"
"291","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"292","laporanrepoer       vaksinasi massal pelajar  masyarakat indonesia sehat indonesia "
"293","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"294","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"295","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"296","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"297","pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pe "
"298","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"299","  presiden    masyarakat  waspada  kovid varian omicron  salah satunya   menjalankan"
"300","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"301","  presiden    masyarakat  waspada  kovid varian omicron  salah satunya   menjalankan"
"302"," mempercepat vaksinasi  masyarakat  terlindungi semangatpembangunannkri "
"303","satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap  informasi "
"304","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"305","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"306","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"307","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"308","pemerintah  mempercepat progres  vaksinasi  covid   vaksin dosis    masyarakat   ter "
"309","masyarakat  terlindungi  percepatan vaksinasi semangatpembangunannkri "
"310"," sinyal  pelaksanaan vaksinasi covid  dosis    masyarakat  semangatpembangunannkri "
"311"," sinyal  pelaksanaan vaksinasi covid  dosis    masyarakat   januari  "
"312"," sinyal  pelaksanaan vaksinasi covid  dosis    masyarakat   januari  "
"313","pemerintah  mempercepat   progres vaksinasi covid  vaksindosis    masyarakat terlind "
"314","s i n y a l   pelaksanaan vaksinasi covid dosis ketiga  masyarakat   vaksinasi booster  ja "
"315","pemerintah  mempercepat progres  vaksinasi  covid   vaksin dosis    masyarakat   ter "
"316"," sinyal  pelaksanaan vaksinasi covid  dosis    masyarakat  semangatpembangunannkri "
"317","  presiden    masyarakat  waspada  kovid varian omicron  salah satunya   menjalankan"
